,Total Equity,Total Assets,Total EU interbank assets,Total nonEU interbank assets,Total Interbank Assets,Total Interbank Liabilities,Total External Assets,Total External Liabilities
GR031,8152.66754326887,118832.0,5910.8124125397435,2696.692946156906,8607.50535869665,8607.50535869665,110224.49464130335,102071.82709803448
GR032,5275.04107706452,66798.315,2308.884103953858,1183.474529630002,3492.35863358386,3492.35863358386,63305.95636641614,58030.91528935162
GR033,3039.0,57680.0,938.0007703000001,643.4502366999998,1581.451007,1581.451007,56098.548993,53059.548993
GR034,792.0,31221.0,1477.4686407113238,179.39999999999623,1656.86864071132,1656.86864071132,29564.13135928868,28772.13135928868
GR035,1223.35124,16783.0,1331.52,114.20000000000005,1445.72,1445.72,15337.28,14113.92876
HU036,3309.89238017269,35190.0,702.862924317388,1750.9401876080021,2453.80311192539,2453.80311192539,32736.19688807461,29426.30450790192
IE037,3669.08141145749,131311.0,8769.64763658975,2506.9329121313494,11276.5805487211,11276.5805487211,120034.4194512789,116365.3380398214
IE038,7037.0,156712.0,15079.599251290001,2174.3047961400007,17253.90404743,17253.90404743,139458.09595257,132421.09595257
IE039,1681.0,46743.0,5082.0,1045.0,6127.0,6127.0,40616.0,38935.0
IT040,26159.33940828,576962.0,93712.37088394385,16196.872326154145,109909.243210098,109909.243210098,467052.756789902,440893.417381622
IT041,35701.9596668278,929487.555,68857.8653039299,37849.1393422401,106707.00464617,106707.00464617,822780.5503538301,787078.5906870023
IT042,6300.80678017,244278.93621197,12073.8342482265,0.0,12073.8342482265,12073.8342482265,232205.1019637435,225904.2951835735
IT043,5474.47035989094,140042.786,6332.84312118,1269.623909,7602.46703018,7602.46703018,132440.31896982,126965.84860992905
IT044,6558.69665319935,130559.0,18625.4373008983,1167.9041560200021,19793.3414569183,19793.3414569183,110765.65854308169,104206.96188988234
MT046,354.373,6382.0,612.952013,432.63286800000003,1045.584881,1045.584881,5336.415119,4982.042119000001
NL047,30894.777,933073.0,22487.57732701,89268.17266335999,111755.74999037,111755.74999037,821317.25000963,790422.47300963
NL048,27724.6145859126,607483.0,23829.74460054,13708.478051139999,37538.22265168,37538.22265168,569944.77734832,542220.1627624074
NL049,11573.5093712728,379599.0,9525.86231782,19670.416239426002,29196.278557246,29196.278557246,350402.721442754,338829.21207148116
NL050,1781.64760830463,78918.0,284.51672752999986,103.94902388000014,388.46575141,388.46575141,78529.53424859,76747.88664028537
NO051,9745.98211538462,209953.682248764,1804.84204814872,5204.33045409871,7009.17250224743,7009.17250224743,202944.50974651656,193198.52763113193
PL052,4201.79538022635,35540.2068789937,1435.6274165766886,739.3098279676915,2174.93724454438,2174.93724454438,33365.269634449316,29163.474254222965
PT053,6510.126505,119318.113231,12465.249508128454,1755.9340835524454,14221.1835916809,14221.1835916809,105096.9296393191,98586.80313431911
PT054,3520.52,100009.739,7205.258006000001,484.61991399999897,7689.87792,7689.87792,92319.86108,88799.34108
PT055,4519.68565796329,85644.4499370489,6822.1701660116105,1867.6000017628594,8689.77016777447,8689.77016777447,76954.67976927443,72434.99411131114
PT056,2132.5665386595,43826.37919,5058.093337740585,404.65998417971423,5462.7533219203,5462.7533219203,38363.625868079704,36231.059329420204
SE084,19103.0,542853.0,50509.824575625105,10937.821742179898,61447.646317805,61447.646317805,481405.353682195,462302.353682195
SE085,9603.5610067749,212239.699426691,22055.40594469874,3900.0893537707598,25955.4952984695,25955.4952984695,186284.2041282215,176680.6431214466
SE086,8208.96373843355,240202.0,11285.497248051528,9584.01124517247,20869.508493224,20869.508493224,219332.49150677602,211123.52776834246
SE087,7352.2802611232,191364.787239975,15231.488830186543,2126.699890525957,17358.1887207125,17358.1887207125,174006.5985192625,166654.3182581393
SI057,812.8,17968.6,1299.746785008946,308.492856739874,1608.23964174882,1608.23964174882,16360.360358251179,15547.56035825118
