"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87"
"1",0,0,0,1892.91884549486,1247.17670254176,0,0,1366.7254248498,0,0,569.002544078058,672.88175921265,0,0,0,4195.38595007504,0,0,2123.80541839694,0,0,0,0,3852.91718483363,0,0,0,0,306.936128068471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517.44954321834,0,0,675.811482305539,651.755562258757,0,510.016060993871,0,0,2.74274481102276,0,0,0,0,0,0,0,4458.47464886119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,1627.42959469442,0,0,0,0,1305.54569996712,0,3281.38208622941,3495.55909600438,0,0,0,0,0,2834.06477953077,564.817241681966,2076.32592769478,0,0,0,1080.17975326224,2860.47351462847,0,0,0,0,0,0,0,0,0,0,2147.63993754547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.537931301973,0,0,0,0,0,0,0,1545.70000613241,0,0,59.6797414829711,0,0,1861.76736423317,1967.95475490475,0,0,0,0,0,0,0,0,3373.74971070576,0,0,0,0
"3",0,0,0,0,0,0,0,1294.85744110031,0,1549.65016042688,0,0,979.757410032805,1111.86608274283,521.124750549733,0,0,0,0,730.280855001919,0,0,0,730.06534877458,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6865823034167,0,0,0,0,0,0,0,0,0,0,0,0,1478.57743044704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.030601393296,0,0,316.416042723919,0,253.8430955012,0,0,0,0,0,0,1268.90005621762,0,0,211.312388899547,0,0,0,0
"4",950.819818601912,1571.31460848722,397.243264504454,0,52.7306942620857,0,891.19425262956,65267.8111278725,6745.44148879604,10462.037568971,555.346925003297,505.381725004266,28034.9593217722,0,2484.2673858556,328.516975710208,5732.83343398428,0,160.088470267219,0,0,0,0,8285.97820019575,0,0,0,35.2245939011514,0,191.503510102066,152.534548726674,0,0,18.700764650262,565.479642236975,0,0,0,0,106.837455564923,0,0,0,0,0,0,0,73.1333857854667,0,2689.09098017419,1571.90630181894,11587.9033873979,0,37204.8254430676,6218.10093080586,4745.08234169318,0,766.917307615313,0,0,0,0,0,853.54703420703,2228.601442733,211.455555249698,2325.90652595665,0,0,158.79142788559,0,0,693.031974708849,7723.33287048003,3049.19128722195,0,0,0,1065.06059238154,1339.62670027167,0,0,7958.87027481692,0,0,2250.36325754944,0
"5",0,0,0,34.038638828994,0,0,0,2371.86670575887,1853.66310181429,0,1813.33228813934,0,0,0,0,0,0,1429.93613118869,0,0,0,0,0,0,0,0,0,0,0,375.454953582633,0,937.994611701928,0,0,0,0,130.850769002668,0,0,0,0,0,0,0,0,0,29.3734509906801,0,1308.76047651199,0,0,0,3428.94858312247,0,0,0,0,295.925818664663,0,0,0,0,0,0,1322.12905582955,0,6356.52385591091,574.470349762593,0,22.5703994266522,0,0,590.902657889113,0,0,0,100.712878168086,0,0,0,0,0,0,0,893.464029747897,0,0
"6",0,0,0,0,0,0,0,0,0,0,457.906812787735,589.987570360731,2104.22044264866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.921853836748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.359357748031,0,2117.34924001151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481.885249081774,0,93.2147886970482,0,0,0,0,0,0,0,0,0,0,0,0,953.154684827814,0
"7",0,0,584.695392570406,0,0,0,0,722.272779131689,0,0,0,0,0,0,0,0,0,0,0,0,0,61.2951701866454,0,0,942.551432544201,0,835.500380385933,0,0,0,0,0,0,0,0,0,621.035909861051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2841.26136367255,0,0,0,0,0,0,31.6130724688575,0,0,0,0,0,0,0,0,0,155.264787377385,0,0,0,0,0,0,0,0,0,0,0,0,0,498.202179848212,0,0,0,0
"8",0,1202.66638835294,0,11814.3702263018,2599.98990897377,762.202963282016,1670.8617142633,0,9577.02230838249,796.431896624975,25490.2158638836,7619.27785083488,0,1002.62545206216,4963.20741088713,0,3201.34959110768,1532.99023508672,5559.49596912317,406.936251246582,0,0,291.906507431334,0,1494.13587393184,0,0,0,6.19909999647471,0,0,0,332.308222257387,575.090980433404,0,0,101.978529929169,0,0,0,0,0,0,0,0,125.595024021627,0,402.209312976527,26531.9384314065,0,0,1962.05096030251,1081.76727252552,539.601846999977,8979.26559999424,3404.92790180058,0,2025.29738801016,0,0,0,0,0,128.098185896863,0,582.666819598316,12743.4740989983,15523.2810476643,0,401.649005579542,3473.92630676717,0,13695.1913527192,4402.46593332582,1387.04818176639,0,1825.62723323335,0,120.09961683689,535.783247437683,0,0,13525.3530792246,0,0,0,0
"9",819.585806890218,5862.41138479274,79.7200173937843,9750.72081706968,3033.02468639749,334.767968986313,0,20949.833957186,0,2223.26189725925,1726.8653910168,2553.08503463205,0,2843.92240943081,78.0630016630141,0,5417.70409927688,3207.30762980418,0,0,0,918.305049499289,2452.72969928427,1882.17022710038,0,0,0,43.9678602369502,0,145.210499207698,417.827080161829,0,254.928619646365,0,0,0,0,0,0,0,0,0,0,0,0,0,175.359714169828,0,10911.7781997563,9689.75166126488,3092.78162988082,4284.52577847194,0,3608.55368793588,3041.2929375649,0,0,3193.27946935038,0,0,0,346.477406762612,146.750383047063,1676.02589119336,0,0,3723.23014758139,5327.5918670683,0,0,1821.33304490618,0,18072.9238726375,497.533296357194,0,0,80.0504897123834,0,0,0,0,0,2145.40451329151,0,957.857543863467,402.185328248372,0
"10",6512.75020543618,1257.70563466829,533.570605417677,2995.46289924228,0,0,0,2550.92188427652,0,0,2031.33532693321,5354.53258908576,1220.06826981347,548.942872241141,1642.04354143541,0,3344.46185534868,1916.23114929888,3691.46137170595,0,1280.30336121368,0,9651.46136656319,1627.02009356145,135.110308341935,561.208521467125,0,0,0,662.82021652494,873.619380799175,1746.61952810881,48.5707494677454,0,0,0,0,0,0,0,0,196.496743192372,535.679213676445,0,0,0,0,320.349989593012,6035.4374520297,0,0,3901.148146284,10783.8656241857,13655.4631909275,1129.78214389355,7209.02754526035,135.432962269751,0,1088.19237018319,0,0,240.301368250918,0,0,0,0,251.335757665233,10733.5181500461,1805.29715920893,545.149798604473,405.067660597019,0,10425.6210442247,0,2941.85256624206,0,546.035837776065,0,1129.22758584912,900.976238223459,885.386171697408,0,0,198.117560782178,3676.98947625562,4044.12651212964,0
