"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87"
"1",0,0,0,1670.04409657249,0,0,0,0,654.811566555555,0,1970.35638988634,355.62723789847,0,4784.85898722841,0,470.517594990455,0,0,0,19.5101851941953,0,0,1553.27050684963,2315.79638745128,138.708137936413,0,0,1693.20076948956,0,828.088461086893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1877.07523523175,1416.4445153786,0,0,0,0,0,0,0,0,0,0,0,0,4597.92418402174,0,0,0,0,0,269.547418769659,0,0,0,428.218325458497,0,0,0,0,0,0,0,0,0,0
"2",0,0,225.508091906802,0,0,0,0,0,2562.24517734225,3092.15387340368,1169.29924132744,0,1530.16454082477,0,0,0,0,0,2982.53065345922,0,0,0,0,0,224.69705754249,0,0,0,80.3080646255352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7052.99025850851,0,0,0,2237.36230837863,0,0,0,0,0,392.987374968184,62.4557233976825,0,0,0,0,0,0,540.740526281724,4729.9839961281,731.309285748384,0,0,0,228.391796067456,0,0,0,0,0,0,0,889.494570753512,0,604.076433038117,0,522.672235592378,501.435930705184,0
"3",0,0,0,379.028966181375,0,0,2645.76688227858,512.974163129615,0,0,288.763167161993,0,0,0,0,0,0,0,0,0,1636.17605779608,0,0,708.312477598494,1729.86257666633,0,0,0,0,0,0,0,0,400.751853870174,0,0,0,0,0,58.8218694208169,0,0,0,0,0,0,0,0,0,922.584099936311,0,0,431.091974177516,0,0,0,0,0,0,0,0,0,272.941775635265,478.787183348522,0,0,0,0,0,0,0,0,0,46.0094253948919,0,0,0,0,0,0,0,0,0,276.495773519135,0,0,0
"4",1349.25810117491,492.33981259856,0,0,1572.05983111593,212.197953843444,0,49625.2601447536,11051.7938642522,28857.7179567026,937.518851978518,0,22142.7806955434,0,7410.89844398464,3182.50863711007,4212.00417880745,308.649066026803,1065.09324635265,0,0,583.829944441759,2477.11632523801,2935.82841122876,1118.38370618168,0,0,0,0,207.900193669107,0,1224.37534459133,0,0,0,0,0,250.124301929671,0,106.837455564923,0,0,0,0,0,0,0,321.031224911979,3251.07724780949,1627.53989358705,0,4654.2548026614,432.512630770864,21915.9745967562,0,0,96.6218115839547,0,411.32232609959,0,0,0,0,0,0,0,7149.66591835072,7645.8234205631,291.952339408107,836.942521667111,1152.45061291547,285.048783711717,15328.5002610863,9348.61846971045,2096.9853843066,0,1209.74158054491,316.851969857068,2307.42503360614,2063.5276226111,0,333.930737418437,1517.04675472908,0,2291.66238716366,0,0
"5",1085.80378038023,927.169111389067,0,0,0,1608.40234498165,0,0,607.577777848279,1074.93907127408,559.12840061886,0,0,4560.70855562474,986.851157950275,0,986.483991438059,0,4617.87501116584,0,0,337.142630725581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553.051221707754,0,0,0,0,38.2691091019706,0,0,381.678791274954,0,0,0,0,0,0,3463.20002393104,0,108.990849162314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.55045536436,0,312.341464218524,0,532.486252166772,0,0,0,808.604460756466,0,0,0,160.664294961219,0,0
"6",0,0,0,139.735069328126,0,0,0,0,1223.11139324973,425.678381936405,1052.48231666721,0,0,0,0,0,0,0,0,0,0,0,0,0,576.680509602583,1192.59155955645,0,0,0,0,0,0,0,16.6100166760959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903.226125074787,884.51614558145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.057737120552,0,0,1309.31074520665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,277.737681915334,0,0,0,0,0,0,0,1236.09735627751,0,0,0,0,0,0,0,0,0,253.655512920349,0,0,657.08545448804,0,0,0,0,0,432.658031705423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.874099432581,0,208.322463658597,0,0,0,164.14792842756,100.673666005657,0,575.967414050722,0,432.543804043295,269.43148300907,0,0,0,0,0,408.298203042661,1290.07669895407,0,0,354.05647085772,0,0,0,0,192.066199258334,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",589.576844324307,0,2486.47343749739,17777.863168321,0,1083.74021363244,0,0,1123.08617396253,4649.25859146553,0,9788.35964326953,15479.8453056996,471.247513385924,5968.4173140293,382.887261121067,3283.90736319298,4108.72172236458,13086.7215802733,0,0,1674.2919007227,4207.18827418583,5788.01655850695,3284.86503978745,0,0,0,0,2527.7728386624,0,679.915080067917,0,199.112000205118,174.45296455324,0,68.8803655973603,0,0,1223.73278447756,0,0,0,0,0,0,433.571550608213,107.561264104202,2987.17612813538,3899.14880277834,806.827440407909,11985.1901676176,5690.24398003056,4020.93903069193,14532.3262731852,1211.08635969902,0,422.615604891567,0,0,916.807029576302,277.425412822475,0,72.8339907581437,0,0,9827.98928954815,7715.47880228877,0,0,0,0,18507.3955785891,3376.77006840409,115.976328164361,0,1232.14357237972,0,0,2393.29818958736,0,1003.86831176014,0,149.098578840238,2489.74029523795,71.2239484793881,43.5111535866093
"9",0,232.007575443398,254.070031622363,5112.39640448521,4480.9229136695,0,0,23038.9958708698,0,4547.19672800765,0,717.256340930252,775.839169621043,2922.47183193889,0,0,0,716.335612986001,5899.82855690933,0,0,1399.38860875434,2999.33640207919,3579.81253813733,428.910688408507,0,95.4107626232718,0,568.489666455194,0,789.344735114115,0,0,0,2259.37622648753,0,0,0,0,0,0,0,606.696201189597,0,0,0,1196.03818998126,0,1497.19231723165,8620.71203639454,0,349.869641999201,24367.0880667399,3937.04626862279,1795.70621080175,0,675.677426878882,271.655803976094,0,0,0,385.030757321879,144.791279366377,1114.71898763794,0,0,0,6140.02189560708,3366.03550464824,203.785935888693,5350.42393389451,0,10253.6272849292,0,0,0,0,0,3128.20568632364,0,0,0,1108.44679568603,2859.93911033804,0,0,0
"10",255.128999605752,0,856.564646788108,11802.1710826176,0,0,0,3978.10205980966,3293.14770956845,0,6065.34468265307,7289.27793201498,6186.02416697804,0,0,2143.13257494945,5059.63354925142,0,3940.67031221844,1100.42217852558,0,421.569919324284,3388.24623473341,0,610.761913392948,0,578.339142961649,0,617.717747828588,0,0,463.312987945456,267.032099061822,0,0,197.081861863676,0,72.4984534888857,0,0,0,396.693729735506,0,0,0,0,0,16.2839255619666,2231.21496793031,672.021165078088,0,0,7567.85919862714,10586.9508382938,341.83726732161,771.743407383785,0,2943.11016596586,0,0,0,0,0,1486.9451212856,166.362717495508,0,17591.4566056078,11571.8978356744,0,4339.57316850939,0,0,2326.27021919349,0,0,0,0,0,5204.58210021232,505.119864948814,889.260575579438,0,3643.18117524718,651.702657193842,0,1415.85303757294,0
