"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87"
"1",0,0,1502.27423124144,651.593903740638,0,0,0,1646.72469997407,2936.73211339649,217.991802251927,0,0,538.174795081954,0,0,266.255985281439,1131.76741533413,0,0,0,0,0,0,510.416181463722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042.19866294984,174.6339348577,0,0,5806.61487414778,0,0,0,346.536872140158,680.135824473438,0,0,0,0,0,0,0,1652.03583569423,0,0,0,0,0,273.520288502555,3229.38367078443,0,0,982.228489997872,0,0,0,0,0,0,0,0,1454.78041868613,0
"2",792.25943486911,0,0,0,0,0,0,0,0,0,780.161429141778,0,5401.71370739818,0,0,0,2691.95987379553,0,0,0,0,0,0,0,0,0,0,538.937566144228,0,843.316251225267,180.564222479654,0,0,564.705318414016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687.747203880846,0,0,0,2463.65428723187,1222.45196610918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973.475303780796,0,13219.8605755296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",135.269059636691,0,0,0,0,0,0,0,2503.8091299867,0,0,0,1619.56632566503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.88069303195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935.334327552029,0,0,0,2123.70562832048,0,0,0,266.326224767119,0,0,0,0,0,0,0,0,0,0,0,0,314.974758117628,0,114.163808321261,758.338290716218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,5410.91480865254,0,0,90.6053475539895,0,2024.89231539965,72242.1808040852,274.975048204812,13861.9686281673,1501.82022848039,0,8303.00596573249,6524.44122800092,1857.01010775855,234.555558707989,0,0,3035.56415592854,455.621157741378,0,1012.07770322176,266.245665358617,18566.0065416093,565.214195149842,0,0,0,704.567280526182,0,0,451.173792013423,0,0,0,0,0,15.3366185908957,0,0,0,0,0,0,0,0,954.171206647627,0,348.755775784631,8041.99940074902,2699.60017897298,3872.22456727703,0,39074.6550603828,3226.33322328609,0,0,0,109.488965984303,0,0,292.375206988709,0,0,56.364582745761,0,8661.84449065716,1362.72263671603,101.168632726091,0,1546.29510801618,0,9699.0142895845,2412.36201765691,0,0,0,0,0,143.938289024102,0,37.7458627179382,5970.53870709263,1428.20379463006,773.00565039621,0,0
"5",1940.82147716492,0,0,1805.81949768758,0,0,0,1084.72901692357,3901.23230103316,0,631.57071550505,0,0,0,3499.60357392221,0,0,0,0,757.102157188045,0,0,0,0,0,150.58296639757,477.84433153181,0,0,0,0,674.061938693109,0,698.372527317615,0,0,0,0,741.033642304255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.084341657294,0,2471.37107654271,0,0,0,0,0,0,0,428.057798549132,0,0,0,1075.53103194549,0,0,0,0,1948.72836959552,0,1100.15619955014,0,0,0,0,0,143.215792532851,0,0,0,0,0,0
"6",918.347753833726,0,0,0,0,0,0,209.946327452939,0,0,2372.98763382959,314.885502911904,0,0,0,0,1265.9214846047,2019.4488521129,0,0,0,167.207664490055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611.512355185145,0,0,26.7424255790849,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,4303.53722287303,0,0,334.015564984824,0,0,0,0,0,170.32782594242,31.6130724688575,0,0,0,0,0,0,0,0,0,0,1092.09476609455,0,0,0,0,269.147543902446,0,0,0,0,0,0,725.942427433864,0,0,0,0,0,0,0,0,0,0,0,53.011939116849,0,0,0,0,0,0,0,0,0,156.740387722656,0,0,0,0,0,0,0,0,0,0,157.261717507429,0,0,0,0,0,0,0,0,0,0,0,0
"8",8627.7878695337,0,0,0,0,0,0,0,14496.6208348069,3224.04020839718,25256.0783962014,1508.14601322105,5068.31774723657,0,1233.30861251174,1629.42159708885,3870.08228813994,4024.34025110648,338.691973941421,0,0,575.131049339372,0,2555.79974119644,6427.47683721777,0,0,0,0,0,0,999.39730840149,86.2154512528323,0,0,0,257.669909595264,0,0,16.7256164484265,0,0,0,0,0,0,0,584.409633528633,18236.5330059682,3197.72002059063,5198.81516209055,0,0,7830.17838241359,12113.9475251421,5579.43446422219,0,432.054673787885,229.325316189732,0,292.58965191548,154.752836717426,653.590264998965,0,0,0,9034.28563018506,11684.7834263022,1477.28994763534,57.9593655171591,0,0,15741.3844278874,0,3963.20726243486,0,0,1406.85752580198,1413.67067342768,0,243.823276088869,0,14676.716912996,0,0,0,0
"9",4.14944241217086,4807.44119910087,0,7079.04512370229,4630.41413038701,0,0,4119.12166673784,0,14894.9862616108,0,4763.43355221564,0,0,8524.7773700412,0,4635.60433715387,1630.97619280055,4956.16035230811,36.1785887069917,0,246.385997432879,0,2755.3567007335,0,0,0,0,599.198853352003,240.909625336694,0,46.492982435295,0,0,162.16593995518,0,0,0,0,0,0,0,0,0,0,0,580.617392151063,0,0,11650.2097170422,3885.05661773402,4991.61941756145,4950.54784315333,7878.96098246803,3686.17105444238,0,0,0,0,0,0,440.321291569804,0,0,429.37428111674,0,9904.61158741453,915.767629898804,1261.0055281904,0,1452.05153136208,0,10675.8111438135,4316.07969164676,0,0,1031.42355931457,0,0,0,0,0,1705.32161671324,1921.6698968667,315.972374642985,2064.70852647486,0
"10",90.3474655889459,2874.17327164858,2649.2414904619,18008.0532389289,0,0,0,5460.35136325113,11821.4783277758,0,7517.74580628675,8909.96688713162,8686.58268916544,2663.4725273185,0,0,1041.2909049415,561.470994816889,2798.49123132946,0,365.851701979514,65.7160491897928,8217.52878081296,6295.95036647903,943.441516708762,564.312270158928,108.996723480473,663.382097760169,847.728091651002,0,0,0,351.261123990549,129.704571373581,439.360461226541,0,0,486.130923056438,310.925426381637,0,0,0,0,0,0,0,0,0,7944.48457565393,246.085496289771,1983.91421194185,7023.84498136832,4773.66928474346,0,0,0,2355.72423996218,0,0,0,731.192371363186,0,0,0,0,0,521.322784182904,1617.23545290834,171.711113231864,0,2924.08479134349,0,1148.61441413923,1568.8547557835,1602.91639645242,0,154.997573304963,0,184.613068781555,0,1414.19158020052,0,0,2661.91406865951,0,2003.77253679426,0
