"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87"
"1",0,501.423984005956,0,7076.38497486738,1247.17670254176,0,0,1011.31371879473,0,0,1231.76804575968,0,642.493841914195,2327.90593757624,0,2470.10146285387,1061.21600922766,0,0,0,103.110336060604,0,0,1281.93277535895,0,0,0,0,0,0,0,0,0,0,358.816435687699,0,0,0,0,0,0,0,0,0,0,0,0,0,881.572156784306,603.887637312957,0,0,0,0,0,0,0,355.51371969682,0,0,0,0,0,0,0,0,1954.54133397346,0,2.74274481102276,0,0,0,0,0,9.3045132246981,0,0,0,807.911264218607,0,0,0,580.353850764925,0,0,534.528554564427,0
"2",0,0,3133.48535515986,375.524470402991,0,0,0,1305.54569996712,1716.51491961318,466.53077496862,3219.35231598152,0,0,2036.17055078274,0,0,0,0,2601.13417343658,0,0,0,1395.26898606274,2275.25084293455,0,0,0,0,0,0,0,1688.88017585084,0,0,2147.63993754547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679.861960486545,0,0,0,0,0,0,0,0,0,722.891569828875,0,0,0,2511.65547876742,0,0,0,0,1162.52007049031,0,0,0,0,0,0,0,0,0,2922.57985772069,0,0,0,0
"3",0,0,0,0,0,0,0,2783.0370595649,2526.53850267764,1134.80726286887,0,0,0,1842.14693774475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7424255790849,0,0,0,0,0,0,0,0,0,0,0,0,414.842897558013,0,0,0,0,0,0,941.377737674127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803.900664330078,314.974758117628,0,0,0,0,0,0
"4",315.640115563255,0,651.086360005654,0,0,0,1207.61029535348,64589.4060094974,11322.7372314496,10379.4303738289,0,9573.54273531237,15132.3739750812,0,0,0,1709.88658394044,4156.66338251894,347.950810067384,0,0,0,0,6989.38871439357,4220.65249906884,0,0,0,0,0,0,0,1.95181801361898,105.223948592217,217.52883216959,0,0,0,0,0,0,0,0,0,0,0,0,374.359521632651,1148.50692299952,0,2886.72163825057,8536.24345240897,0,40757.4128563653,3852.32717011689,5579.49490378769,0,0,0,443.305591519282,0,0,0,1005.05009510905,3317.51091633957,0,3318.62175832546,0,1434.82025622031,0,3450.25176126647,0,6780.97310721786,7019.24517352263,802.188420874039,0,0,0,2353.50385784896,5.71433125801354,0,0,3749.71982035751,0,0,205.761367414927,268.178191228455
"5",0,0,0,639.964829915774,0,0,0,1436.326139981,1414.69365737848,0,2151.6526532011,825.083718448693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937.994611701928,0,0,0,0,247.305998783732,0,0,0,0,0,0,0,0,0,0,0,1308.76047651199,0,0,0,5308.45188318948,0,0,0,0,442.02592113873,0,0,0,18.6289368013,0,22.5703994266522,440.06124381903,0,6356.52385591091,387.315426800562,0,0,510.016060993871,0,65.9297478384231,0,0,0,100.712878168086,0,0,0,0,0,1174.12291372419,82.7774023080963,0,0,0
"6",0,0,0,0,0,0,0,0,0,953.154684827814,1819.84678550786,0,2104.22044264866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.921853836748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.359357748031,0,1920.49687543094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,2293.98313336587,0,942.551432544201,0,0,439.747585806577,644.043310679369,0,0,0,0,0,0,0,0,0,521.420701633244,0,0,61.2951701866454,0,0,0,0,0,0,0,0,0,0,0,1138.63317409307,0,0,369.454474103405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.819575231089,0,0,0,0,31.6130724688575,0,0,0,0,0,137.928658086388,0,0,0,0,0,0,0,0,498.202179848212,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",526.179128649524,1178.96290682869,532.488120218441,10425.7295170974,2757.12424752654,0,1606.23922759565,0,4321.42155756206,3188.2281626648,29467.086621849,8723.42490818118,0,1108.53439289882,4856.36995532221,0,2017.68701249684,424.381159631997,3534.00507276903,0,0,2085.89443818624,291.906507431334,6320.39085960674,177.166445923151,0,0,0,0,131.646212830721,0,0,0,1323.03443178744,0,229.653828168926,0,118.458663396392,0,0,0,0,0,0,0,0,0,631.056432345739,23830.9596395445,0,0,6262.9429756253,2357.82527351779,1583.27019352075,6744.13945879605,4953.53442036509,94.5730912647737,0,0,0,0,0,0,0,340.577241624489,542.32881879174,12568.0910058785,16618.6691237382,0,0,2905.61873841383,0,13122.1781016127,0,361.635981649108,0,199.200746670151,0,1787.07898496786,0,0,0,13543.8890698334,604.998414695713,0,0,0
"9",819.585806890218,3423.86932914746,0,11457.5415113868,2647.69335866828,0,0,21539.7986213078,0,2845.66622858318,518.850171617515,1105.36113301808,0,1203.87111851214,368.491131084444,0,5400.37378399151,0,0,1191.49139924402,0,967.006949341017,0,6025.99578054064,0,0,0,0,60.7568458703526,232.539392083241,0,0,167.599726770822,0,0,157.368204198352,0,0,0,0,0,0,0,0,0,0,180.189820681589,0,10333.4308128699,14422.4582450363,158.131885898725,5960.65638854922,572.501425621335,0,3215.03561876073,179.320687761982,0,627.385762926539,0,0,262.284649883618,728.609317605137,42.4016516973871,2393.14678392691,0,0,1334.10503616661,4193.10912738695,226.581861974005,614.467525497869,2451.31419640846,0,21647.16176508,4472.19253358395,0,0,0,0,0,0,0,1898.81426100621,1320.14040185611,0,0,215.755462800655,607.044284764181
"10",6583.62798093869,0,533.570605417677,6980.72950829369,0,0,0,2320.402370276,0,0,2947.58108346163,8281.25429410579,591.959640862849,368.457460509448,2420.31942397082,0,9376.90680285951,487.18772125147,1769.76144798728,0,1280.30336121368,0,4143.38236961883,3611.79774586041,792.843499233774,121.406102769199,0,0,0,1109.98339758262,390.608481881005,1220.36591260605,0,1600.77575317236,0,0,0,0,0,0,0,0,99.8997185674813,0,0,0,0,320.349989593012,894.419827977246,1787.19320567579,0,699.498160033359,16303.8990774579,6185.12187458766,0,2152.98126185546,786.088862214657,0,1090.93511499421,0,0,154.126903837269,379.117591097615,0,32.1912437227551,0,11153.8954307818,10047.5210861721,1802.55441439791,1043.85319851902,202.245110867022,0,4455.55391012749,0,2903.71459369057,0,918.884568434059,0,0,1230.04505809985,1030.74396420654,0,3670.73968575379,1459.38432877827,535.514296024491,5632.40255865995,0
