"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87"
"1",0,1351.91819518192,0,0,1405.59001003105,0,0,3831.78265312351,379.341629310095,725.75721409679,2525.85036345942,2654.0579046074,1613.33391815669,2121.23436339959,1004.46223625972,0,0,0,0,0,0,0,2844.57981689407,261.308784190396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.8310634361553,0,0,0,0,898.956037674953,0,0,0,0,1427.99582030285,0,0,0,0,0,0,0,0,0,0,0,593.392646553652,0,0,0,637.970085436751,0,412.701129816454,0,0,0,0,0,0,0,0,0,0,0,306.936128068471,0,0
"2",0,0,0,872.317804321993,0,258.637139828612,0,0,2565.58850508868,3021.99448650938,0,0,2188.37376084897,0,3595.38434959917,0,2307.14356294012,0,2715.9520195709,0,0,0,0,4042.70195847208,0,0,0,0,236.240849280747,0,0,0,0,0,0,0,0,0,189.951951854803,0,0,0,0,162.952872242184,0,0,0,0,0,0,0,2037.16230006319,891.446388767131,0,0,0,0,0,446.018505866167,0,29.9608033965534,0,0,0,0,0,2028.4708018315,847.873403886455,0,59.6797414829711,0,0,1777.23604279272,0,0,0,0,0,0,0,0,0,0,0,0,85.7198913557118,0
"3",0,0,0,1703.05955945293,465.359541661879,0,0,397.431337391187,0,0,0,0,2276.53287191014,0,0,0,0,0,0,0,1232.96984713996,0,0,0,0,0,0,0,0,0,0,0,0,0,195.219813979171,0,0,0,0,58.8218694208169,0,0,0,0,0,0,0,0,1591.43468062162,0,0,0,0,752.882690378767,0,0,0,0,0,0,0,0,501.014948382154,0,0,0,0,0,0,331.457613644001,0,0,1282.18347213247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",634.403775877992,345.552697567109,0,0,769.035338761698,0,0,56944.9892230211,1172.14464093774,14730.4313602688,967.469678761892,3213.01512596427,29876.7681385088,110.003658979829,6685.05601757976,5200.35278337774,4517.46301622889,2838.33337239794,1980.41250376904,0,0,657.927092051634,0,4356.53699641908,4898.29727463943,0,442.465454234668,0,0,0,0,0,0,544.492678037903,0,0,0,0,143.93526806783,0,0,0,0,0,0,0,0,913.864491172116,951.96496298534,11314.3700806322,0,10723.2109568881,1079.00015601602,27391.6855039277,419.601009289297,5218.75179054406,96.6218115839547,0,411.32232609959,616.012369060206,0,0,0,1464.7728542983,1718.2417932821,0,6986.68441483087,884.916215901937,20.7796014774528,0,363.030184494762,0,0,10727.3865786899,2864.05761596226,0,0,768.862173983992,0,0,0,0,0,1574.48419607221,0,672.277616274945,0
"5",0,181.898310883502,0,641.479885560999,0,0,0,852.631560458488,4189.36155596058,0,2059.67373280193,0,0,3120.27146636078,0,0,0,0,2548.39404730876,0,0,0,63.1393057228775,0,0,0,0,0,0,8.86139847126412,0,746.257742557621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.252704881139,0,134.214925191061,0,0,1026.91297443923,0,4622.77640531957,0,0,2159.22655356528,0,0,0,0,0,0,0,0,0,0,60.5532096504115,0,337.142630725581,0,0,0,0,0,0,178.548757168036,0,0,0,0,466.60435542664,0,0,206.726384425968,108.990849162314,0
"6",0,0,0,0,0,0,0,0,0,0,330.030438532302,799.753016280319,1162.39474673672,278.434904863785,0,0,0,0,0,0,0,0,0,0,460.311330040462,1257.7796068298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2118.81424001151,0,127.876374255434,596.255591630362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775.349750819353,0
"7",0,0,409.562354661176,0,0,0,0,0,28.6683986891564,291.634517928972,164.14792842756,0,0,177.8521902552,0,0,277.737681915334,0,0,0,175.133037909229,0,0,2843.92611319768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778.403504116641,0,0,0,0,0,0,0,0,93.4369760032162,0,0,527.935274104416,0,0,0,0,0,0,0,0,0,621.035909861051,0,0,0,904.218580977299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,430.762031466563,3548.90243326521,9458.12221235901,2768.89697283172,664.552095177876,0,0,3227.22952697394,12990.6721448411,16904.9009208648,11941.6115224302,203.09652583251,1802.68785434207,1358.24598005674,0,9124.10271242746,439.931624993764,7775.47936821773,0,0,0,611.572508547645,4042.75747179551,471.120609725162,0,6.55419412092033,0,767.664627415361,2647.39698398535,0,0,0,486.969417892372,515.306283321642,0,0,0,31.2092354033022,0,0,0,0,0,16.8347698294914,0,0,0,26363.1443701743,0,0,2972.99025487424,6505.06185849222,2737.33260391278,2261.69298002476,2276.51977956121,0,748.215533316766,0,259.315866146563,788.788519289774,0,0,0,0,0,15743.4453453669,8621.39916486348,0,327.268912826315,3654.07094767948,94.0720058855101,17237.6295406845,1571.01730089013,708.47433825312,0,0,0,2639.05408499326,1898.8648806328,0,380.197795741203,1569.84603401789,0,1167.99592587782,1635.60301985635,0
"9",0,9557.60337694263,0,5606.4031819605,6291.57111483848,0,754.54365709797,22857.5746730245,0,3677.85599062047,34.6329481040563,8525.36339024294,1832.19734143118,2376.44847139365,6.68387308506271,0,522.662491868457,0,2305.44410655139,583.007370524835,0,555.868098306848,3173.11456387178,2847.70675223931,1306.56131470652,0,1233.2165844704,0,0,0,0,0,0,0,1967.39552046813,0,0,0,0,0,0,905.160736698043,0,0,0,0,175.359714169828,0,11651.4842908581,11590.8414555781,3679.43618528811,2803.3881016586,4014.25198009316,0,2194.37775825802,1271.33184578873,207.344494334213,0,0,0,0,0,74.9411625067991,1434.96713353429,2232.15374705538,0,0,2579.98305717722,0,203.785935888693,1748.49110519388,0,12376.8357564975,0,0,0,0,0,365.931626884878,0,0,0,2313.40549116824,0,350.773599619399,0,0
"10",7311.87467084364,1287.83604318819,0,13733.0815351312,1496.62742358252,0,0,0,16099.7781679184,0,928.996445569646,1120.823159403,8083.72543563804,1392.72004267956,0,0,599.986471547679,0,0,0,0,0,2545.37000701575,2618.13761164538,0,0,0,0,0,203.068136796341,0,1855.05746897084,489.777338590694,0,274.12352829037,17.9176815102339,0,116.520109042489,0,0,0,0,0,0,0,0,276.817330707351,0,2507.19706250919,887.83411338559,124.252979845043,740.683061093185,7759.50214755207,11497.3524255483,5788.86574654249,0,0,0,140.347209739929,0,62.4489566129012,0,0,375.179696183355,516.461710582494,0,13401.8324181823,11100.0684144214,531.10584774272,0,0,0,1746.90523699263,0,0,0,546.035837776065,0,267.752583174258,2153.57492433105,889.260575579438,869.775487218909,7229.02658464171,809.427083106637,0,3508.97128916693,0
