"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87"
"1",0,0,1789.38206689623,1102.12427236891,0,0,0,0,0,0,170.727891056518,804.62092773475,177.607562263122,0,0,677.711680785219,565.64278141669,0,0,0,0,0,0,3695.27803162272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.9023408389153,0,0,0,0,0,481.134967096306,0,0,2895.43233907163,5278.35438793786,0,0,0,324.208967942254,0,0,0,0,0,4345.881748009,0,0,1825.92180641025,0,0,0,0,0,87.0839010243559,0,0,0,0,0,525.382987756012,0,0,0,0,0,0,44.5495981892253,184.051741579969
"2",0,0,116.443178290322,611.6700542043,0,0,0,652.250208313405,1266.48039700415,1701.00620579258,0,0,3265.99555799913,2794.0786385531,0,0,1420.78261400979,0,2629.48221361507,0,0,0,0,1448.80970462876,0,0,0,0,0,0,659.617474580926,3143.39899433088,0,0,1145.55335498338,0,44.8544255720019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761.9695591082,0,0,0,0,0,0,0,0,0,0,0,0,3505.87330247602,0,0,208.393619839629,973.475303780796,0,3315.88752624485,0,0,0,0,0,0,0,0,145.995587139661,0,0,548.789219533076,0,0
"3",0,0,0,0,0,0,0,2769.27692457976,222.960512206218,59.4190096578682,0,803.900664330078,0,1842.14693774475,0,0,0,0,0,0,0,0,0,0,0,0,0,657.532124388079,0,0,0,0,0,414.842897558013,0,0,0,26.7424255790849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941.377737674127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2735.19425427949,0,0,0,0,0,314.974758117628,0,0,0,0,0,0
"4",0,3088.86396386515,0,0,596.459481009371,98.8581685520715,2394.70592741082,77293.758044268,2732.72332250781,15048.0291175282,1527.68608030876,17759.9830417714,5013.99250397947,0,4616.55244395677,0,2725.46459153341,0,0,0,0,0,0,1519.11824787112,0,0,0,27.1976596357475,0,0,0,0,349.413210925352,0,0,0,686.430838216386,476.09452963412,0,0,0,0,0,29.5755822940229,0,0,0,0,892.762118368078,3244.61394712274,1351.99823902297,3980.70926503489,4963.95635048539,32285.1893638577,2239.32685815785,2700.98636950515,0,0,668.82515626567,443.305591519282,0,0,0,2131.98832453891,6846.99873927137,0,9291.6306844522,0,0,0,3220.31897641571,0,5161.96884519525,8781.00003812999,0,0,0,0,0,0,0,0,0,0,109.624359390823,3910.87481691851,0
"5",0,0,1917.54109437484,440.932410616192,0,0,0,873.451886055622,0,0,1426.41364830679,0,100.830593111384,0,2791.74470914084,0,607.863534801786,0,0,0,0,0,0,3680.11549649908,0,0,0,0,243.577396418254,0,0,0,0,0,0,0,247.305998783732,0,0,0,0,0,0,0,0,0,0,434.814629309159,1333.6366530719,1332.62791761369,0,440.06124381903,0,6819.13389172843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180.8676523913,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,331.921853836748,0,640.518405939822,4000.69589603208,0,0,0,0,0,2006.67133984459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.281953149498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.760324653481,0,277.150226543833,0,0,0,0,0,0,0,0
"7",0,0,0,0,385.365820690979,0,0,1376.69919644629,3057.97238747176,0,0,0,0,0,0,0,0,0,647.820005505696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.060011413858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033.14430383458,0,0,0,0,0,31.6130724688575,0,648.017670214908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",690.260348561008,0,3133.48535515986,7324.94356612683,1039.5078589794,0,0,0,12634.9354284552,0,24579.9013422084,10979.8267720865,8240.07109055653,1528.63257825069,2646.156060119,1791.83908626672,4557.93091596209,0,27.3717427991285,0,0,0,0,1732.43337238474,2600.53003507769,478.034248231851,0,0,0,1975.97570595489,0,160.500899720437,0,0,0,0,303.378831909612,0,0,0,0,0,0,0,0,0,0,30.7084622870263,22991.7657405583,0,4331.02864271412,0,568.354547185279,4720.19538682009,12439.2088710975,1851.68640966953,310.414974652832,453.233384059704,0,0,596.907814875458,0,0,0,327.22745781624,0,8299.69617066703,16215.3257842157,0,0,0,0,17373.8989142115,223.291149753633,0,0,658.66080796605,0,0,0,0,0,16581.2613341182,0,0,0,0
"9",0,907.989745837297,85.4751502118434,5365.81495482854,198.379417352534,0,0,5037.13642474418,0,13038.6909881825,18.1625407425101,8845.94770010653,5924.49796142345,711.53595443737,981.601512154506,0,1546.43912323666,2994.28531194575,2559.05305289011,554.79355594237,1394.36137623754,436.921089274655,0,2912.74482340824,0,0,29.8363543733559,0,1100.3206397748,1261.92226683225,0,0,0,0,0,0,0,437.956436144022,0,0,0,0,0,0,0,0,0,476.43131758195,1231.79474486022,21190.2283776186,3113.13584819113,41.1426155314022,0,11016.8186866892,0,1877.65027353063,0,0,154.752836717426,0,0,0,0,1177.95626525873,1728.68444453736,0,603.248072965778,5348.24967528925,799.393308542952,0,3131.0647733262,0,18559.9543613796,3282.8226966851,0,0,184.988140515512,0,4885.24460053643,0,444.991564729823,1647.23282524856,950.448190183489,0,0,0,0
"10",9956.80611013199,3733.28809400455,0,3885.67893140822,0,0,0,10083.1147951868,3512.65590755854,0,4249.67390361068,1199.23982629338,0,0,5106.92915871715,0,5787.97693818894,1592.17860398931,676.958279084941,0,0,40.8398726298855,8066.83269279371,602.193531390682,431.494433326597,0,0,0,0,0,0,0,1572.5167170632,0,0,0,0,78.1323714831415,0,0,0,0,0,0,0,0,0,0,5311.93915582464,0,3172.83540388131,16928.7629776782,13103.9555286798,4139.5293072902,2054.78431335527,0,1772.50973924949,0,0,0,262.284649883618,0,114.374185876377,0,0,0,1893.45169434602,3960.27223599854,345.690509146197,2551.20934309494,3422.93308412084,0,3662.37243947774,2819.73996587261,630.160582884127,0,0,0,570.900083007529,0,0,28.3480401784903,144.80554627383,1593.19040371937,856.585199972057,3988.95544332717,0
